,shRNAname,label,score
Bcl2_100_sas,Bcl2_100_sas,0,-3.803665157
Bcl2_1000_sas,Bcl2_1000_sas,1,-0.575904778
Bcl2_1001_sas,Bcl2_1001_sas,0,-4.428148097
Bcl2_1002_sas,Bcl2_1002_sas,1,0.541718964
Bcl2_1003_sas,Bcl2_1003_sas,0,-8.657928574
Bcl2_1004_sas,Bcl2_1004_sas,0,-6.519373778
Bcl2_1005_sas,Bcl2_1005_sas,0,-8.086838568
Bcl2_1006_sas,Bcl2_1006_sas,0,-8.75221554
Bcl2_1007_sas,Bcl2_1007_sas,0,-6.497583744
Bcl2_1008_sas,Bcl2_1008_sas,0,-7.601185118
Bcl2_1009_sas,Bcl2_1009_sas,0,-9.422190448
Bcl2_101_sas,Bcl2_101_sas,1,-2.084962501
Bcl2_1010_sas,Bcl2_1010_sas,0,-8.317412614
Bcl2_1011_sas,Bcl2_1011_sas,0,-7.860923419
Bcl2_1012_sas,Bcl2_1012_sas,0,-7.346525648
Bcl2_1013_sas,Bcl2_1013_sas,1,0.093775571
Bcl2_1014_sas,Bcl2_1014_sas,1,-0.909276564
Bcl2_1015_sas,Bcl2_1015_sas,1,-2.657097488
Bcl2_1016_sas,Bcl2_1016_sas,1,-1.937761398
Bcl2_1017_sas,Bcl2_1017_sas,1,0.811016464
Bcl2_1018_sas,Bcl2_1018_sas,1,-1.391016071
Bcl2_1019_sas,Bcl2_1019_sas,0,-3.993614501
Bcl2_102_sas,Bcl2_102_sas,0,-3.350219859
Bcl2_1020_sas,Bcl2_1020_sas,0,-9.234506872
Bcl2_1021_sas,Bcl2_1021_sas,1,0.038831107
Bcl2_1022_sas,Bcl2_1022_sas,1,1.25927458
Bcl2_1023_sas,Bcl2_1023_sas,0,-9.008996827
Bcl2_1024_sas,Bcl2_1024_sas,1,2.397458981
Bcl2_1025_sas,Bcl2_1025_sas,1,3.059148637
Bcl2_1026_sas,Bcl2_1026_sas,1,2.192149788
Bcl2_1027_sas,Bcl2_1027_sas,1,-0.727150729
Bcl2_1028_sas,Bcl2_1028_sas,1,-2.159929971
Bcl2_1029_sas,Bcl2_1029_sas,1,2.651456666
Bcl2_103_sas,Bcl2_103_sas,0,-4.31467831
Bcl2_1030_sas,Bcl2_1030_sas,1,1.667554536
Bcl2_1031_sas,Bcl2_1031_sas,1,3.02873401
