"shRNAname","x"
"Bcl2_100_sas",0
"Bcl2_1000_sas",1
"Bcl2_1001_sas",0
"Bcl2_1002_sas",1
"Bcl2_1003_sas",0
"Bcl2_1004_sas",0
"Bcl2_1005_sas",0
"Bcl2_1006_sas",0
"Bcl2_1007_sas",0
"Bcl2_1008_sas",0
"Bcl2_1009_sas",0
"Bcl2_101_sas",1
"Bcl2_1010_sas",0
"Bcl2_1011_sas",0
"Bcl2_1012_sas",0
"Bcl2_1013_sas",1
"Bcl2_1014_sas",1
"Bcl2_1015_sas",1
"Bcl2_1016_sas",1
"Bcl2_1017_sas",1
"Bcl2_1018_sas",1
"Bcl2_1019_sas",1
"Bcl2_102_sas",1
"Bcl2_1020_sas",0
"Bcl2_1021_sas",1
"Bcl2_1022_sas",1
"Bcl2_1023_sas",0
"Bcl2_1024_sas",1
"Bcl2_1025_sas",1
"Bcl2_1026_sas",1
"Bcl2_1027_sas",1
"Bcl2_1028_sas",1
"Bcl2_1029_sas",1
"Bcl2_103_sas",0
"Bcl2_1030_sas",1
"Bcl2_1031_sas",1
"Bcl2_1032_sas",1
"Bcl2_1033_sas",1
"Bcl2_1034_sas",1
"Bcl2_1035_sas",1
"Bcl2_1036_sas",1
"Bcl2_1037_sas",1
"Bcl2_1038_sas",1
"Bcl2_1039_sas",0
"Bcl2_1040_sas",0
"Bcl2_1041_sas",0
"Bcl2_1042_sas",0
"Bcl2_1043_sas",0
"Bcl2_1044_sas",0
"Bcl2_1045_sas",0
"Bcl2_1046_sas",1
"Bcl2_1047_sas",1
"Bcl2_1048_sas",1
"Bcl2_1049_sas",0
"Bcl2_105_sas",1
"Bcl2_1050_sas",0
"Bcl2_1051_sas",1
"Bcl2_1052_sas",1
"Bcl2_1053_sas",0
"Bcl2_1054_sas",0
"Bcl2_1055_sas",0
"Bcl2_1056_sas",1
"Bcl2_1057_sas",1
"Bcl2_1058_sas",0
"Bcl2_1059_sas",0
"Bcl2_106_sas",0
"Bcl2_1060_sas",1
"Bcl2_1061_sas",1
"Bcl2_1062_sas",1
"Bcl2_1063_sas",1
"Bcl2_1064_sas",1
"Bcl2_1065_sas",0
"Bcl2_1066_sas",0
"Bcl2_1067_sas",0
"Bcl2_1068_sas",0
"Bcl2_1069_sas",1
"Bcl2_107_sas",0
"Bcl2_1070_sas",0
"Bcl2_1071_sas",0
"Bcl2_1072_sas",0
"Bcl2_1073_sas",0
"Bcl2_1074_sas",0
"Bcl2_1075_sas",0
"Bcl2_1076_sas",0
"Bcl2_1077_sas",0
"Bcl2_1078_sas",0
"Bcl2_1079_sas",0
"Bcl2_108_sas",1
"Bcl2_1080_sas",0
"Bcl2_1081_sas",0
"Bcl2_1082_sas",0
"Bcl2_1083_sas",0
"Bcl2_1084_sas",0
"Bcl2_1085_sas",1
"Bcl2_1086_sas",1
"Bcl2_1087_sas",1
"Bcl2_1088_sas",1
"Bcl2_1089_sas",0
"Bcl2_109_sas",1
"Bcl2_1090_sas",0
"Bcl2_1091_sas",0
"Bcl2_1092_sas",0
"Bcl2_1093_sas",0
"Bcl2_1094_sas",0
"Bcl2_1095_sas",0
"Bcl2_1096_sas",0
"Bcl2_1097_sas",0
"Bcl2_1098_sas",0
"Bcl2_1099_sas",0
