"","shRNAname","label","score"
"Bcl2_100_sas","Bcl2_100_sas",0,-3.80366515687481
"Bcl2_1000_sas","Bcl2_1000_sas",1,-0.575904778378897
"Bcl2_1001_sas","Bcl2_1001_sas",0,-4.4281480970004
"Bcl2_1002_sas","Bcl2_1002_sas",1,0.541718963737591
"Bcl2_1003_sas","Bcl2_1003_sas",0,-8.65792857363141
"Bcl2_1004_sas","Bcl2_1004_sas",0,-6.51937377810866
"Bcl2_1005_sas","Bcl2_1005_sas",0,-8.08683856815171
"Bcl2_1006_sas","Bcl2_1006_sas",0,-8.75221554043831
"Bcl2_1007_sas","Bcl2_1007_sas",0,-6.49758374358966
"Bcl2_1008_sas","Bcl2_1008_sas",0,-7.60118511802797
"Bcl2_1009_sas","Bcl2_1009_sas",0,-9.42219044795479
"Bcl2_101_sas","Bcl2_101_sas",1,-2.08496250072116
"Bcl2_1010_sas","Bcl2_1010_sas",0,-8.31741261376487
"Bcl2_1011_sas","Bcl2_1011_sas",0,-7.86092341872939
"Bcl2_1012_sas","Bcl2_1012_sas",0,-7.3465256476985
"Bcl2_1013_sas","Bcl2_1013_sas",1,0.0937755711500277
"Bcl2_1014_sas","Bcl2_1014_sas",1,-0.909276564331234
"Bcl2_1015_sas","Bcl2_1015_sas",1,-2.65709748768727
"Bcl2_1016_sas","Bcl2_1016_sas",1,-1.93776139786279
"Bcl2_1017_sas","Bcl2_1017_sas",1,0.811016464277165
"Bcl2_1018_sas","Bcl2_1018_sas",1,-1.39101607094714
"Bcl2_1019_sas","Bcl2_1019_sas",0,-3.99361450121274
"Bcl2_102_sas","Bcl2_102_sas",0,-3.35021985907055
"Bcl2_1020_sas","Bcl2_1020_sas",0,-9.2345068722379
"Bcl2_1021_sas","Bcl2_1021_sas",1,0.0388311071696101
"Bcl2_1022_sas","Bcl2_1022_sas",1,1.25927457962673
"Bcl2_1023_sas","Bcl2_1023_sas",0,-9.00899682741363
"Bcl2_1024_sas","Bcl2_1024_sas",1,2.39745898072319
"Bcl2_1025_sas","Bcl2_1025_sas",1,3.05914863731029
"Bcl2_1026_sas","Bcl2_1026_sas",1,2.19214978782814
"Bcl2_1027_sas","Bcl2_1027_sas",1,-0.727150728716639
"Bcl2_1028_sas","Bcl2_1028_sas",1,-2.15992997131514
"Bcl2_1029_sas","Bcl2_1029_sas",1,2.65145666569012
"Bcl2_103_sas","Bcl2_103_sas",0,-4.3146783100398
"Bcl2_1030_sas","Bcl2_1030_sas",1,1.66755453647831
"Bcl2_1031_sas","Bcl2_1031_sas",1,3.02873401013838
"Bcl2_1032_sas","Bcl2_1032_sas",1,-0.68775232707317
"Bcl2_1033_sas","Bcl2_1033_sas",1,3.18208804317614
"Bcl2_1034_sas","Bcl2_1034_sas",1,-0.0624129578154609
"Bcl2_1035_sas","Bcl2_1035_sas",1,-2.13070528781926
"Bcl2_1036_sas","Bcl2_1036_sas",1,0.439720434494923
"Bcl2_1037_sas","Bcl2_1037_sas",1,2.41323689036364
"Bcl2_1038_sas","Bcl2_1038_sas",1,2.50922337214931
"Bcl2_1039_sas","Bcl2_1039_sas",0,-7.41429248927386
"Bcl2_104_sas","Bcl2_104_sas",1,-1.85021985907055
"Bcl2_1040_sas","Bcl2_1040_sas",0,-8.75744536166774
"Bcl2_1041_sas","Bcl2_1041_sas",0,-4.43447705977669
"Bcl2_1042_sas","Bcl2_1042_sas",0,-11.2266905848617
"Bcl2_1043_sas","Bcl2_1043_sas",0,-10.4035264936027
"Bcl2_1044_sas","Bcl2_1044_sas",0,-11.9477894901143
"Bcl2_1045_sas","Bcl2_1045_sas",0,-7.22302470335828
"Bcl2_1046_sas","Bcl2_1046_sas",1,0.124980724951421
"Bcl2_1047_sas","Bcl2_1047_sas",1,0.41646182722968
"Bcl2_1048_sas","Bcl2_1048_sas",1,-0.445100178379555
"Bcl2_1049_sas","Bcl2_1049_sas",0,-6.69374633699053
"Bcl2_105_sas","Bcl2_105_sas",0,-3.61440934524794
"Bcl2_1050_sas","Bcl2_1050_sas",0,-10.4924564020074
"Bcl2_1051_sas","Bcl2_1051_sas",1,-0.966422916760139
"Bcl2_1052_sas","Bcl2_1052_sas",1,-1.47220214415178
"Bcl2_1053_sas","Bcl2_1053_sas",0,-7.88862765759596
"Bcl2_1054_sas","Bcl2_1054_sas",0,-8.18211008441211
"Bcl2_1055_sas","Bcl2_1055_sas",0,-8.1225534971906
"Bcl2_1056_sas","Bcl2_1056_sas",1,1.51616454947151
"Bcl2_1057_sas","Bcl2_1057_sas",1,-1.69931632566732
"Bcl2_1058_sas","Bcl2_1058_sas",0,-8.15792857363141
